Rk,Team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT
1,Duke 1,ACC,35-3,39.62,130.1,90.5,65.9
2,Houston 1,B12,34-4,36.47,123.9,87.4,61.6
3,Florida 1,SEC,34-4,36.05,129.1,93,69.8
4,Auburn 1,SEC,32-5,35.26,127.6,92.4,68.1
5,Tennessee 2,SEC,30-8,30.86,120.6,89.7,63.7
6,Alabama 2,SEC,28-9,30.3,126.8,96.5,75.2
7,Michigan St. 2,B10,30-7,28.29,118.8,90.5,67.4
8,Gonzaga 8,WCC,26-9,27.99,124.7,96.8,70.4
9,Texas Tech 3,B12,28-9,27.94,125.4,97.5,66
10,Maryland 4,B10,27-9,26.78,118.8,92,69.5
11,Iowa St. 3,B12,25-10,26.71,119.9,93.2,68.7
12,Arizona 4,B12,24-13,26.36,123.7,97.4,70.2
13,Wisconsin 3,B10,27-10,26.33,122.9,96.5,67.9
14,St. John's 2,BE,31-5,26.16,114.2,88.1,69.9
15,Purdue 4,B10,24-12,25.12,124.5,99.3,65
16,Kentucky 3,SEC,24-12,24.5,123.8,99.3,70.8
17,Illinois 6,B10,22-13,24.1,121.9,97.8,71.4
18,Texas A&M 4,SEC,23-11,23.59,116.6,93,66.7
19,Missouri 6,SEC,22-12,23.53,124.4,100.9,68.6
20,Mississippi 6,SEC,24-12,23.33,119.1,95.8,68
21,Clemson 5,ACC,27-7,23.25,118.4,95.1,64.5
22,Michigan 5,B10,27-10,23.24,116.5,93.2,70
23,UCLA 7,B10,23-11,23.2,117.2,94,64.9
24,Kansas 7,B12,21-13,22.95,116,93.1,68.5
25,Saint Mary's 7,WCC,29-6,22.64,114.7,92.1,61.6
26,BYU 6,B12,26-10,22.32,124.1,101.8,67.6
27,Louisville 8,ACC,27-8,21.75,118.2,96.4,69
28,Oregon 5,B10,25-10,21.6,117.5,95.9,68
29,Marquette 7,BE,23-11,21.09,117.5,96.4,67.6
30,Baylor 9,B12,20-15,20.86,121.3,100.5,64.5
31,North Carolina 11,ACC,23-14,20.36,119.3,98.9,70.6
32,Connecticut 8,BE,24-11,20.28,121.7,101.4,63.9
33,Mississippi St. 8,SEC,21-13,20,118.9,98.9,68.3
34,VCU 11,A10,28-7,19.61,116.1,96.5,66.2
35,Creighton 9,BE,25-11,19.53,117.9,98.4,67.3
36,Arkansas 10,SEC,22-14,19.3,114.5,95.2,69.3
37,Ohio St.,B10,17-15,18.79,118.1,99.3,67.2
38,Georgia 9,SEC,20-13,18.54,115.3,96.8,66.6
39,UC San Diego 12,BW,30-5,18.27,115.1,96.8,65.7
40,Oklahoma 9,SEC,20-14,17.92,118.3,100.3,68.7
41,New Mexico 10,MWC,27-8,17.83,113.1,95.2,72.4
42,Colorado St. 12,MWC,26-10,17.7,117,99.3,65.9
43,Xavier 11,BE,22-12,17.26,116.3,99.1,69.1
44,Texas 11,SEC,19-16,16.87,117.4,100.5,67.5
45,Northwestern,B10,17-16,16.81,114.3,97.5,65.1
46,Indiana,B10,19-13,16.73,114.1,97.4,68.1
47,Boise St.,MWC,25-10,16.46,116.1,99.6,65.8
48,Vanderbilt 10,SEC,20-13,16.2,117.8,101.6,69.4
49,Nebraska,B10,18-14,15.52,113.8,98.3,67.9
50,SMU,ACC,24-11,15.44,116.3,100.8,68.8
51,Memphis 5,Amer,29-6,15.24,113.5,98.3,70.9
52,San Diego St. 11,MWC,21-10,15.21,109.9,94.7,66.2
53,West Virginia,B12,19-13,15.17,109.1,94,64.3
54,Drake 11,MVC,31-4,15.14,113,97.8,59.3
55,Cincinnati,B12,18-15,14.8,110.6,95.8,65.5
56,Villanova,BE,19-14,14.37,118.5,104.2,63.2
57,Santa Clara,WCC,21-13,14.34,116.4,102,69.1
58,McNeese 12,Slnd,28-7,14.25,114.2,99.9,65.8
59,Penn St.,B10,16-15,14.09,115.1,101,70
