Team1,Team2,Team1Score,Team2Score
California,Boston College,82,71
Clemson,Boston College,78,69
Duke,Boston College,88,63
Florida St.,Boston College,76,77
Georgia Tech,Boston College,85,64
Georgia Tech,Boston College,54,69
Louisville,Boston College,84,58
Miami FL,Boston College,68,78
North Carolina,Boston College,102,96
N.C. State,Boston College,70,62
Notre Dame,Boston College,78,60
Notre Dame,Boston College,97,94
Pittsburgh,Boston College,93,67
SMU,Boston College,103,77
Stanford,Boston College,78,60
Syracuse,Boston College,79,71
Syracuse,Boston College,95,86
Virginia,Boston College,74,56
Virginia Tech,Boston College,36,54
Wake Forest,Boston College,72,66
Clemson,California,80,68
Duke,California,78,57
Florida St.,California,68,77
Georgia Tech,California,90,88
Louisville,California,85,68
Miami FL,California,94,98
North Carolina,California,79,53
N.C. State,California,62,65
N.C. State,California,62,74
Notre Dame,California,112,110
Pittsburgh,California,86,74
SMU,California,76,65
SMU,California,81,77
Stanford,California,89,81
Stanford,California,66,61
Syracuse,California,75,66
Virginia,California,61,75
Virginia Tech,California,71,68
Wake Forest,California,76,66
Duke,Clemson,71,77
Florida St.,Clemson,57,77
Florida St.,Clemson,46,72
Georgia Tech,Clemson,59,70
Georgia Tech,Clemson,89,86
Louisville,Clemson,74,64
Miami FL,Clemson,55,65
North Carolina,Clemson,65,85
N.C. State,Clemson,62,65
N.C. State,Clemson,62,74
Notre Dame,Clemson,68,83
Pittsburgh,Clemson,75,78
SMU,Clemson,69,79
Stanford,Clemson,71,85
Syracuse,Clemson,72,86
Virginia,Clemson,58,71
Virginia Tech,Clemson,65,88
Wake Forest,Clemson,62,73
Florida St.,Duke,65,100
Georgia Tech,Duke,56,82
Louisville,Duke,65,76
Miami FL,Duke,54,89
Miami FL,Duke,60,97
North Carolina,Duke,70,87
North Carolina,Duke,69,82
N.C. State,Duke,64,74
Notre Dame,Duke,68,83
Pittsburgh,Duke,47,76
SMU,Duke,62,89
Stanford,Duke,70,106
Syracuse,Duke,54,83
Virginia,Duke,62,80
Virginia Tech,Duke,65,88
Wake Forest,Duke,56,63
Wake Forest,Duke,60,93
Georgia Tech,Florida St.,78,91
Louisville,Florida St.,90,76
Louisville,Florida St.,89,91
Miami FL,Florida St.,65,80
Miami FL,Florida St.,66,74
North Carolina,Florida St.,96,85
N.C. State,Florida St.,84,74
Notre Dame,Florida St.,60,67
Pittsburgh,Florida St.,70,82
SMU,Florida St.,69,76
Stanford,Florida St.,78,71
Syracuse,Florida St.,74,90
Virginia,Florida St.,60,57
Virginia Tech,Florida St.,76,66
Wake Forest,Florida St.,70,72
Louisville,Georgia Tech,70,77
Miami FL,Georgia Tech,74,89
North Carolina,Georgia Tech,68,65
N.C. State,Georgia Tech,62,87
Notre Dame,Georgia Tech,75,86
Notre Dame,Georgia Tech,71,68
Pittsburgh,Georgia Tech,67,73
SMU,Georgia Tech,93,71
Stanford,Georgia Tech,52,60
Syracuse,Georgia Tech,62,55
Virginia,Georgia Tech,75,61
Virginia Tech,Georgia Tech,64,71
Wake Forest,Georgia Tech,70,72
